Timestamp,Event
2026-05-30 07:25:19 AM,Vehicle Detected
2026-05-30 07:25:37 AM,Vehicle Detected
2026-05-30 07:25:55 AM,Vehicle Detected
2026-05-30 07:26:29 AM,Vehicle Detected
2026-05-30 07:26:38 AM,Vehicle Detected
2026-05-30 07:27:04 AM,Vehicle Detected
2026-05-30 07:27:16 AM,Vehicle Detected
2026-05-30 07:27:23 AM,Vehicle Detected
2026-05-30 07:27:59 AM,Vehicle Detected
2026-05-30 07:28:10 AM,Vehicle Detected
2026-05-30 07:28:17 AM,Vehicle Detected
2026-05-30 07:28:52 AM,Vehicle Detected
2026-05-30 07:29:01 AM,Vehicle Detected
2026-05-30 07:29:10 AM,Vehicle Detected
2026-05-30 07:29:27 AM,Vehicle Detected
2026-05-30 07:29:35 AM,Vehicle Detected
2026-05-30 07:29:37 AM,Vehicle Detected
2026-05-30 07:29:56 AM,Vehicle Detected
2026-05-30 07:30:13 AM,Vehicle Detected
2026-05-30 07:30:24 AM,Vehicle Detected
2026-05-30 07:31:01 AM,Vehicle Detected
2026-05-30 07:31:18 AM,Vehicle Detected
2026-05-30 07:31:38 AM,Vehicle Detected
2026-05-30 07:31:55 AM,Vehicle Detected
2026-05-30 07:32:04 AM,Vehicle Detected
2026-05-30 07:32:22 AM,Vehicle Detected
2026-05-30 07:32:53 AM,Vehicle Detected
2026-05-30 07:33:34 AM,Vehicle Detected
2026-05-30 07:33:52 AM,Vehicle Detected
2026-05-30 07:34:21 AM,Vehicle Detected
2026-05-30 07:34:29 AM,Vehicle Detected
2026-05-30 07:34:37 AM,Vehicle Detected
2026-05-30 07:34:48 AM,Vehicle Detected
2026-05-30 07:34:57 AM,Vehicle Detected
2026-05-30 07:35:39 AM,Vehicle Detected
2026-05-30 07:35:49 AM,Vehicle Detected
2026-05-30 07:35:54 AM,Vehicle Detected
2026-05-30 07:36:37 AM,Vehicle Detected
2026-05-30 07:38:02 AM,Vehicle Detected
2026-05-30 07:38:31 AM,Vehicle Detected
2026-05-30 07:38:48 AM,Vehicle Detected
2026-05-30 07:38:59 AM,Vehicle Detected
2026-05-30 07:39:06 AM,Vehicle Detected
2026-05-30 07:39:50 AM,Vehicle Detected
2026-05-30 07:39:59 AM,Vehicle Detected
2026-05-30 07:40:03 AM,Vehicle Detected
2026-05-30 07:40:12 AM,Vehicle Detected
2026-05-30 07:40:54 AM,Vehicle Detected
2026-05-30 07:41:00 AM,Vehicle Detected
2026-05-30 07:41:11 AM,Vehicle Detected
2026-05-30 07:42:54 AM,Vehicle Detected
2026-05-30 07:42:57 AM,Vehicle Detected
2026-05-30 07:43:31 AM,Vehicle Detected
2026-05-30 07:43:41 AM,Vehicle Detected
2026-05-30 07:44:08 AM,Vehicle Detected
2026-05-30 07:45:37 AM,Vehicle Detected
2026-05-30 07:45:54 AM,Vehicle Detected
2026-05-30 07:46:12 AM,Vehicle Detected
2026-05-30 07:46:39 AM,Vehicle Detected
2026-05-30 07:47:07 AM,Vehicle Detected
2026-05-30 07:47:15 AM,Vehicle Detected
2026-05-30 07:47:33 AM,Vehicle Detected
2026-05-30 07:47:51 AM,Vehicle Detected
2026-05-30 07:48:00 AM,Vehicle Detected
2026-05-30 07:48:10 AM,Vehicle Detected
2026-05-30 07:48:27 AM,Vehicle Detected
2026-05-30 07:48:37 AM,Vehicle Detected
2026-05-30 07:48:55 AM,Vehicle Detected
2026-05-30 07:49:21 AM,Vehicle Detected
2026-05-30 07:49:47 AM,Vehicle Detected
2026-05-30 07:50:16 AM,Vehicle Detected
2026-05-30 07:50:22 AM,Vehicle Detected
2026-05-30 07:50:32 AM,Vehicle Detected
2026-05-30 07:50:58 AM,Vehicle Detected
2026-05-30 07:51:26 AM,Vehicle Detected
2026-05-30 07:51:46 AM,Vehicle Detected
2026-05-30 07:53:10 AM,Vehicle Detected
2026-05-30 07:53:20 AM,Vehicle Detected
2026-05-30 07:53:37 AM,Vehicle Detected
2026-05-30 07:53:46 AM,Vehicle Detected
2026-05-30 07:54:31 AM,Vehicle Detected
2026-05-30 07:54:40 AM,Vehicle Detected
2026-05-30 07:54:50 AM,Vehicle Detected
2026-05-30 07:55:18 AM,Vehicle Detected
2026-05-30 07:55:28 AM,Vehicle Detected
2026-05-30 07:55:46 AM,Vehicle Detected
2026-05-30 07:57:05 AM,Vehicle Detected
2026-05-30 07:57:48 AM,Vehicle Detected
2026-05-30 07:58:56 AM,Vehicle Detected
2026-05-30 07:58:59 AM,Vehicle Detected
2026-05-30 07:59:37 AM,Vehicle Detected
2026-05-30 08:00:13 AM,Vehicle Detected
2026-05-30 08:00:47 AM,Vehicle Detected
2026-05-30 08:02:02 AM,Vehicle Detected
